genesymbol	log2FoldChange	padj	genename	chromosome_name	idx
YAL044W-A	0.505994368236624	0.430084013816952	BOL1	1	11
YAL046C	-1.54182982088719	0.00193892882062214	BOL3	1	11
YAL047C	0.511675461017511	0.859397675012968	SPC72	1	10
YAL048C	0.257367519315759	0.851881583096055	GEM1	1	10
YAL049C	2.39480393393725	0.0559668376574561	AIM2	1	10
YAL051W	0.685884012997969	0.187056154961951	OAF1	1	9
YAL053W	2.63572203464004	0.000132572025956111	FLC2	1	9
YAL054C	-0.826522921282	0.15839648098983	ACS1	1	8
YAL055W	1.49168924675652	0.499805166216585	PEX22	1	8
YAL056W	0.0469807504310788	0.930000596569755	GPB2	1	7
YAL058W	-0.178620822047752	0.927214428945469	CNE1	1	7
YAL059W	-1.61602164799351	0.0564310276375255	ECM1	1	7
YAL060W	-1.24266115912028	0.1457738959711	BDH1	1	7
YAL061W	-1.69903707086456	0.00786165818892426	BDH2	1	6
YAL062W	-0.218330596911101	0.560088238852658	GDH3	1	6
YAL063C	-0.215310393593715	0.947255466362478	FLO9	1	4
YAL063C-A	-0.621664388160001	0.818010180112961	NA	1	4
YAL064C-A	-1.33367814199872	0.0602788357268649	TDA8	1	2
YAL064W-B	-0.786281660312973	0.353800976217051	NA	1	2
YAL065C	-0.991692883903793	0.356101194608421	NA	1	2
YAL067C	-0.297003008939207	0.400828857169326	SEO1	1	1
YAR002C-A	0.322451661543394	0.624480654403662	ERP1	1	30
YAR002W	0.768835591174347	0.116657474925646	NUP60	1	30
YAR003W	-0.208756892353451	0.859534355356479	SWD1	1	31
YAR007C	1.32651407816362	0.120511310084966	RFA1	1	31
YAR008W	-1.24775183835729	0.608052191260971	SEN34	1	31
YAR010C	-1.08926014637573	0.696998676568922	NA	1	32
YAR014C	-0.641028785258098	0.293131704972614	BUD14	1	33
YAR015W	0.0634453401841345	0.00071214835185875	ADE1	1	33
YAR018C	0.114550695333347	0.834817065045599	KIN3	1	34
YAR019C	-0.627687127527724	0.307937156321203	CDC15	1	34
YAR023C	-0.832976674892267	0.0387079789519985	NA	1	35
YAR027W	0.47991789002689	0.684322689411084	UIP3	1	36
YAR028W	-0.926378349664287	0.153541793519819	NA	1	36
YAR029W	-1.32111496993343	0.121653044160695	NA	1	37
