genename	ensembl	log2FoldChange	chromosome_name	idx
PTK1	YKL198C	-1.92143898752419	11	13
PEX29	YDR479C	-1.884389855788	4	283
JEM1	YJL073W	-1.86476360711265	10	60
VPS45	YGL095C	-1.8140798869243	7	65
VPS3	YDR495C	-1.79243741117982	4	287
RTK1	YDL025C	-1.70538604960196	4	81
ECL1	YGR146C	-1.68690923328506	7	156
BDH2	YAL061W	-1.58836719389159	1	6
SDS24	YBR214W	-1.58021866969051	2	130
CSS1	YIL169C	-1.53633998753202	9	4
