genename	ensembl	log2FoldChange	chromosome_name	idx
YEF3	YLR249W	-2.43597059014056	12	127
LDB18	YLL049W	-2.42489726345329	12	8
SAP30	YMR263W	-2.39888480632999	13	158
HRP1	YOL123W	-2.39792995705718	15	17
CYB2	YML054C	-2.38192869079577	13	33
RCN1	YKL159C	-2.37326436900497	11	30
PRM3	YPL192C	-2.3716484921998	16	36
MRD1	YPR112C	-2.37090770317771	16	149
TIF4631	YGR162W	-2.3698602565639	7	164
MTC7	YEL033W	-2.35693302705056	5	17
GLC3	YEL011W	-2.33999723483748	5	26
SHH3	YMR118C	-2.33175407056398	13	100
SMF1	YOL122C	-2.31293895222326	15	17
RRT14	YIL127C	-2.3005364411532	9	23
CIN1	YOR349W	-2.29692189370367	15	197
YPR1	YDR368W	-2.28760734507817	4	242
TFA2	YKR062W	-2.25795099666051	11	111
RPP0	YLR340W	-2.24258567537373	12	161
PHM8	YER037W	-2.2353485004564	5	45
GPI14	YJR013W	-2.23351057618825	10	92
NSE1	YLR007W	-2.22617478316645	12	32
VAC17	YCL063W	-2.22268057461992	3	3
CUE1	YMR264W	-2.21644092548965	13	159
NEJ1	YLR265C	-2.17680695749872	12	134
RPS7A	YOR096W	-2.17250730583233	15	101
CWH41	YGL027C	-2.15722251737499	7	88
GPG1	YGL121C	-2.10905468824513	7	56
SET4	YJL105W	-2.09071398857208	10	45
YHB1	YGR234W	-2.07671796951655	7	191
ATG36	YJL185C	-2.0732609995172	10	16
SUP35	YDR172W	-2.06738430763483	4	161
VIK1	YPL253C	-2.0618783346989	16	14
KIP1	YBL063W	-2.03372205294416	2	20
RCF2	YNR018W	-2.00487206368106	14	132
HHT2	YNL031C	-1.99024174018505	14	115
FAA1	YOR317W	-1.98195357259565	15	181
HYP2	YEL034W	-1.97925121562261	5	17
SYM1	YLR251W	-1.97676925247997	12	128
ARK1	YNL020C	-1.96759902605908	14	119
PTK1	YKL198C	-1.92143898752419	11	13
CCT5	YJR064W	-1.91924775587883	10	111
PMT7	YDR307W	-1.91371503730826	4	215
AMD2	YDR242W	-1.90096027927827	4	189
ASI2	YNL159C	-1.88210156865116	14	67
PHO8	YDR481C	-1.85409426009887	4	283
RPS19A	YOL121C	-1.85361659283567	15	18
GPX2	YBR244W	-1.81984787790806	2	141
YNG1	YOR064C	-1.72424476811295	15	89
RTK1	YDL025C	-1.70538604960196	4	81
ECL1	YGR146C	-1.68690923328506	7	156
SDS24	YBR214W	-1.58021866969051	2	130
CSS1	YIL169C	-1.53633998753202	9	4
PNP1	YLR209C	-1.18817721588597	12	112
