genename	ensembl	log2FoldChange	chromosome_name	idx
ALD4	YOR374W	-2.80426141300934	15	207
PRM10	YJL108C	-2.67346361214088	10	43
CLD1	YGR110W	-2.59695481913483	7	142
AMS1	YGL156W	-2.40836785492024	7	42
MHO1	YJR008W	-2.28845148900027	10	90
FAA1	YOR317W	-2.28507511613802	15	181
HTB2	YBL002W	-2.14605526921855	2	47
ATG1	YGL180W	-2.09891963063923	7	32
RPI1	YIL119C	-2.04437810227132	9	27
GRE2	YOL151W	-1.89871283118076	15	8
ECL1	YGR146C	-1.79265132007444	7	156
COS6	YGR295C	-1.7545405306512	7	216
RTK1	YDL025C	-1.74855571389599	4	81
MF(ALPHA)1	YPL187W	-1.73606461782033	16	38
VPS3	YDR495C	-1.70749843418497	4	287
BDH2	YAL061W	-1.69903707086456	1	6
ARF2	YDL137W	-1.69756226095545	4	43
NSR1	YGR159C	-1.68304574052498	7	161
SDS24	YBR214W	-1.68146309547663	2	130
AAC1	YMR056C	-1.63620992819616	13	77
CSS1	YIL169C	-1.61669868751623	9	4
RIF2	YLR453C	-1.54436148968916	12	208
ATF1	YOR377W	-1.51588551513713	15	209
ZEO1	YOL109W	-1.50904111590256	15	22
CSR2	YPR030W	-1.46494505888528	16	125
RPL9A	YGL147C	-1.4315124658488	7	45
RCF2	YNR018W	-1.42034676481015	14	132
NOP53	YPL146C	-1.39094789680457	16	55
NOG1	YPL093W	-1.38925697625904	16	74
MOH1	YBL049W	-1.38289800086809	2	25
HBT1	YDL223C	-1.36848294634259	4	11
BCY1	YIL033C	-1.36091144072386	9	58
RPA135	YPR010C	-1.34599833872675	16	115
CDC33	YOL139C	-1.34407879680111	15	12
SMP1	YBR182C	-1.32712249523687	2	118
NOC2	YOR206W	-1.29591603096196	15	145
MRT4	YKL009W	-1.28553077003871	11	85
SPG3	YDR504C	-1.24445329942881	4	291
GPB1	YOR371C	-1.21873214912091	15	206
STV1	YMR054W	-1.21504668291454	13	76
TEF4	YKL081W	-1.1907380638441	11	56
RPS25B	YLR333C	-1.18520259930789	12	159
ERB1	YMR049C	-1.16407686035714	13	73
PEX29	YDR479C	-1.15551188341606	4	283
ESF1	YDR365C	-1.13384377889732	4	240
RPS2	YGL123W	-1.12406071387768	7	55
ARK1	YNL020C	-1.11909440227613	14	119
SHH3	YMR118C	-1.11350858842946	13	100
RPP1B	YDL130W	-1.10207002256257	4	45
PKH1	YDR490C	-1.09234373813766	4	286
TMC1	YOR052C	-1.09042635659785	15	85
RPL38	YLR325C	-1.06414704642203	12	156
NOP7	YGR103W	-1.05717317239323	7	139
PTK1	YKL198C	-1.05555220954426	11	13
NAR1	YNL240C	-1.0372200086794	14	39
SYM1	YLR251W	-1.01342381685217	12	128
