genename	ensembl	log2FoldChange	chromosome_name	idx
BIT2	YBR270C	1.38780731491884	2	148
YSC83	YHR017W	1.59625477412109	8	27
YKE4	YIL023C	1.75885551349549	9	61
VTC1	YER072W	1.79120888158867	5	60
YCK2	YNL154C	1.81091963787819	14	68
CSH1	YBR161W	1.83593970658528	2	112
PTP2	YOR208W	1.95249401895011	15	146
HSP150	YJL159W	1.9789768240277	10	24
BUR6	YER159C	1.9965985496701	5	98
TIP1	YBR067C	2.22226690966498	2	74
VPS35	YJL154C	3.01336516643615	10	26
CRH1	YGR189C	3.21433034723842	7	175
CCM1	YGR150C	4.04762208631247	7	158
OPI10	YOL032W	4.12503121508822	15	53
